run_label,mode,staleness,mean_iter_s,throughput_its
s=1,bounded_delay,1,0.02335940283956006,42.8093135286173
s=2,bounded_delay,2,0.023745493035918722,42.11325486008421
s=5,bounded_delay,5,0.024440162465907633,40.91625828571852
s=10,bounded_delay,10,0.023564336167570823,42.4370112906553
sequential BSP,sequential_bsp,,0.02124864439247176,47.06182575836662
asynchronous,asynchronous,,0.0212494388979394,47.060066141180414
